turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
1,WS1,WS,2,,False,[],,,,1,0.026001042462785957,,,,,,,,,,,,
1,WS10,WS,2,,False,[],,,,1,0.039678298604899374,,,,,,,,,,,,
1,WS11,WS,2,,False,[],,,,1,0.021068446305809792,,,,,,,,,,,,
1,WS12,WS,1,,True,"[""COMP_TIRE"", ""COMP_CASTING""]",,,,1,0.02000594335029541,,,,,,,,,,,,
1,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.030374549921834214,,,,,,,,,,,,
1,WS14,WS,1,,True,"[""COMP_WINDOW"", ""COMP_SEAT"", ""COMP_WIRE""]",,,,2,0.02139047001696693,,,,,,,,,,,,
1,WS15,WS,2,,False,[],,,,1,0.021482580855654597,,,,,,,,,,,,
1,WS16,WS,4,maintenance,,,maintenance_start,5,,2,0.02321172977740953,,,,,,,,,,,,
1,WS17,WS,2,,False,[],,,,1,0.02919553389048632,,,,,,,,,,,,
1,WS18,WS,1,,True,"[""COMP_WHEELS"", ""COMP_CASTING""]",,,,2,0.0324302501541711,,,,,,,,,,,,
1,WS19,WS,2,,False,[],,,,1,0.02848198296509595,,,,,,,,,,,,
1,WS2,WS,2,,False,[],,,,1,0.029974549117378985,,,,,,,,,,,,
1,WS3,WS,1,,True,"[""COMP_CASTING""]",,,,1,0.02147952011268522,,,,,,,,,,,,
1,WS4,WS,2,,False,[],,,,1,0.24494797543906124,,,,,,,,,,,,
1,WS6,WS,2,,False,[],,,,1,0.03956101711622147,,,,,,,,,,,,
1,WS7,WS,2,,False,[],,,,1,0.03290352364794717,,,,,,,,,,,,
1,WS9,WS,2,,False,[],,,,1,0.03273094748382199,,,,,,,,,,,,
2,WS1,WS,2,,,,,,,8,0.036375906777623646,,,,,,,,,,,,
2,WS10,WS,2,,,,,,,6,0.035125486499666556,,,,,,,,,,,,
2,WS11,WS,2,,,,,,,6,0.02675375495459413,,,,,,,,,,,,
2,WS12,WS,1,,True,"[""COMP_TIRE"", ""COMP_CASTING""]",,,,1,0.03744105630855406,,,,,,,,,,,,
